EmployeeID,Age,Age Group:,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,Income Band,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsAtCompany Band,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
EMP0011,35,30-40,No,Travel_Rarely,809,Research & Development,16,3,Medical,1,14,1,Male,84,4,1,Laboratory Technician,2,Married,2426,Low,16479,0,Y,No,13,3,3,80,1,6,5,3,5,2-5,4,0,3
EMP0012,29,Under 30,No,Travel_Rarely,153,Research & Development,15,2,Life Sciences,1,15,4,Female,49,2,2,Laboratory Technician,3,Single,4193,Medium,12682,0,Y,Yes,12,3,4,80,0,10,3,3,9,5-10,5,0,8
EMP0013,31,30-40,No,Travel_Rarely,670,Research & Development,26,1,Life Sciences,1,16,1,Male,31,3,1,Research Scientist,3,Divorced,2911,Low,15170,1,Y,No,17,3,4,80,1,5,1,2,5,2-5,2,4,3
EMP0014,34,30-40,No,Travel_Rarely,1346,Research & Development,19,2,Medical,1,18,2,Male,93,3,1,Laboratory Technician,4,Divorced,2661,Low,8758,0,Y,No,11,3,3,80,1,3,2,3,2,2-5,2,1,2
EMP0015,28,Under 30,Yes,Travel_Rarely,103,Research & Development,24,3,Life Sciences,1,19,3,Male,50,2,1,Laboratory Technician,3,Single,2028,Low,12947,5,Y,Yes,14,3,2,80,0,6,4,3,4,2-5,2,0,3
EMP0016,29,Under 30,No,Travel_Rarely,1389,Research & Development,21,4,Life Sciences,1,20,2,Female,51,4,3,Manufacturing Director,1,Divorced,9980,High,10195,1,Y,No,11,3,3,80,1,10,1,3,10,5-10,9,8,8
EMP0017,32,30-40,No,Travel_Rarely,334,Research & Development,5,2,Life Sciences,1,21,1,Male,80,4,1,Research Scientist,2,Divorced,3298,Medium,15053,0,Y,Yes,12,3,4,80,2,7,5,2,6,5-10,2,0,5
EMP0018,22,Under 30,No,Non-Travel,1123,Research & Development,16,2,Medical,1,22,4,Male,96,4,1,Laboratory Technician,4,Divorced,2935,Low,7324,1,Y,Yes,13,3,2,80,2,1,2,2,1,<2,0,0,0
EMP0019,53,40+,No,Travel_Rarely,1219,Sales,2,4,Life Sciences,1,23,1,Female,78,2,4,Manager,4,Married,15427,High,22021,2,Y,No,16,3,3,80,0,31,3,3,25,10+,8,3,7
EMP0020,38,30-40,No,Travel_Rarely,371,Research & Development,2,3,Life Sciences,1,24,4,Male,45,3,1,Research Scientist,4,Single,3944,Medium,4306,5,Y,Yes,11,3,3,80,0,6,3,3,3,2-5,2,1,2
EMP0021,24,Under 30,No,Non-Travel,673,Research & Development,11,2,Other,1,26,1,Female,96,4,2,Manufacturing Director,3,Divorced,4011,Medium,8232,0,Y,No,18,3,4,80,1,5,5,2,4,2-5,2,1,3
EMP0022,36,30-40,Yes,Travel_Rarely,1218,Sales,9,4,Life Sciences,1,27,3,Male,82,2,1,Sales Representative,1,Single,3407,Medium,6986,7,Y,No,23,4,2,80,0,10,4,3,5,2-5,3,0,3
EMP0023,34,30-40,No,Travel_Rarely,419,Research & Development,7,4,Life Sciences,1,28,1,Female,53,3,3,Research Director,2,Single,11994,High,21293,0,Y,No,11,3,3,80,0,13,4,3,12,10+,6,2,11
EMP0024,21,Under 30,No,Travel_Rarely,391,Research & Development,15,2,Life Sciences,1,30,3,Male,96,3,1,Research Scientist,4,Single,1232,Low,19281,1,Y,No,14,3,4,80,0,0,6,3,0,<2,0,0,0
EMP0025,34,30-40,Yes,Travel_Rarely,699,Research & Development,6,1,Medical,1,31,2,Male,83,3,1,Research Scientist,1,Single,2960,Low,17102,2,Y,No,11,3,3,80,0,8,2,3,4,2-5,2,1,3
EMP0026,53,40+,No,Travel_Rarely,1282,Research & Development,5,3,Other,1,32,3,Female,58,3,5,Manager,3,Divorced,19094,High,10735,4,Y,No,11,3,4,80,1,26,3,2,14,10+,13,4,8
EMP0027,32,30-40,Yes,Travel_Frequently,1125,Research & Development,16,1,Life Sciences,1,33,2,Female,72,1,1,Research Scientist,1,Single,3919,Medium,4681,1,Y,Yes,22,4,2,80,0,10,5,3,10,5-10,2,6,7
EMP0028,42,40+,No,Travel_Rarely,691,Sales,8,4,Marketing,1,35,3,Male,48,3,2,Sales Executive,2,Married,6825,Medium,21173,0,Y,No,11,3,4,80,1,10,2,3,9,5-10,7,4,2
EMP0029,44,40+,No,Travel_Rarely,477,Research & Development,7,4,Medical,1,36,1,Female,42,2,3,Healthcare Representative,4,Married,10248,High,2094,3,Y,No,14,3,4,80,1,24,4,3,22,10+,6,5,17
EMP0030,46,40+,No,Travel_Rarely,705,Sales,2,4,Marketing,1,38,2,Female,83,3,5,Manager,1,Single,18947,High,22822,3,Y,No,12,3,4,80,0,22,2,2,2,2-5,2,2,1
EMP0031,33,30-40,No,Travel_Rarely,924,Research & Development,2,3,Medical,1,39,3,Male,78,3,1,Laboratory Technician,4,Single,2496,Low,6670,4,Y,No,11,3,4,80,0,7,3,3,1,<2,1,0,0
EMP0032,44,40+,No,Travel_Rarely,1459,Research & Development,10,4,Other,1,40,4,Male,41,3,2,Healthcare Representative,4,Married,6465,Medium,19121,2,Y,Yes,13,3,4,80,0,9,5,4,4,2-5,2,1,3
EMP0033,30,30-40,No,Travel_Rarely,125,Research & Development,9,2,Medical,1,41,4,Male,83,2,1,Laboratory Technician,3,Single,2206,Low,16117,1,Y,No,13,3,1,80,0,10,5,3,10,5-10,0,1,8
EMP0034,39,30-40,Yes,Travel_Rarely,895,Sales,5,3,Technical Degree,1,42,4,Male,56,3,2,Sales Representative,4,Married,2086,Low,3335,3,Y,No,14,3,3,80,1,19,6,4,1,<2,0,0,0
EMP0035,24,Under 30,Yes,Travel_Rarely,813,Research & Development,1,3,Medical,1,45,2,Male,61,3,1,Research Scientist,4,Married,2293,Low,3020,2,Y,Yes,16,3,1,80,1,6,2,2,2,2-5,0,2,0
EMP0036,43,40+,No,Travel_Rarely,1273,Research & Development,2,2,Medical,1,46,4,Female,72,4,1,Research Scientist,3,Divorced,2645,Low,21923,1,Y,No,12,3,4,80,2,6,3,2,5,2-5,3,1,4
EMP0037,50,40+,Yes,Travel_Rarely,869,Sales,3,2,Marketing,1,47,1,Male,86,2,1,Sales Representative,3,Married,2683,Low,3810,1,Y,Yes,14,3,3,80,0,3,2,3,3,2-5,2,0,2
EMP0038,35,30-40,No,Travel_Rarely,890,Sales,2,3,Marketing,1,49,4,Female,97,3,1,Sales Representative,4,Married,2014,Low,9687,1,Y,No,13,3,1,80,0,2,3,3,2,2-5,2,2,2
EMP0039,36,30-40,No,Travel_Rarely,852,Research & Development,5,4,Life Sciences,1,51,2,Female,82,2,1,Research Scientist,1,Married,3419,Medium,13072,9,Y,Yes,14,3,4,80,1,6,3,4,1,<2,1,0,0
EMP0040,33,30-40,No,Travel_Frequently,1141,Sales,1,3,Life Sciences,1,52,3,Female,42,4,2,Sales Executive,1,Married,5376,Medium,3193,2,Y,No,19,3,1,80,2,10,3,3,5,2-5,3,1,3
EMP0041,35,30-40,No,Travel_Rarely,464,Research & Development,4,2,Other,1,53,3,Male,75,3,1,Laboratory Technician,4,Divorced,1951,Low,10910,1,Y,No,12,3,3,80,1,1,3,3,1,<2,0,0,0
EMP0042,27,Under 30,No,Travel_Rarely,1240,Research & Development,2,4,Life Sciences,1,54,4,Female,33,3,1,Laboratory Technician,1,Divorced,2341,Low,19715,1,Y,No,13,3,4,80,1,1,6,3,1,<2,0,0,0
EMP0043,26,Under 30,Yes,Travel_Rarely,1357,Research & Development,25,3,Life Sciences,1,55,1,Male,48,1,1,Laboratory Technician,3,Single,2293,Low,10558,1,Y,No,12,3,3,80,0,1,2,2,1,<2,0,0,1
EMP0044,27,Under 30,No,Travel_Frequently,994,Sales,8,3,Life Sciences,1,56,4,Male,37,3,3,Sales Executive,3,Single,8726,High,2975,1,Y,No,15,3,4,80,0,9,0,3,9,5-10,8,1,7
EMP0045,30,30-40,No,Travel_Frequently,721,Research & Development,1,2,Medical,1,57,3,Female,58,3,2,Laboratory Technician,4,Single,4011,Medium,10781,1,Y,No,23,4,4,80,0,12,2,3,12,10+,8,3,7
EMP0046,41,40+,Yes,Travel_Rarely,1360,Research & Development,12,3,Technical Degree,1,58,2,Female,49,3,5,Research Director,3,Married,19545,High,16280,1,Y,No,12,3,4,80,0,23,0,3,22,10+,15,15,8
EMP0047,34,30-40,No,Non-Travel,1065,Sales,23,4,Marketing,1,60,2,Male,72,3,2,Sales Executive,3,Single,4568,Medium,10034,0,Y,No,20,4,3,80,0,10,2,3,9,5-10,5,8,7
EMP0048,37,30-40,No,Travel_Rarely,408,Research & Development,19,2,Life Sciences,1,61,2,Male,73,3,1,Research Scientist,2,Married,3022,Medium,10227,4,Y,No,21,4,1,80,0,8,1,3,1,<2,0,0,0
EMP0049,46,40+,No,Travel_Frequently,1211,Sales,5,4,Marketing,1,62,1,Male,98,3,2,Sales Executive,4,Single,5772,Medium,20445,4,Y,Yes,21,4,3,80,0,14,4,3,9,5-10,6,0,8
EMP0050,35,30-40,No,Travel_Rarely,1229,Research & Development,8,1,Life Sciences,1,63,4,Male,36,4,1,Laboratory Technician,4,Married,2269,Low,4892,1,Y,No,19,3,4,80,0,1,2,3,1,<2,0,0,1
EMP0051,48,40+,Yes,Travel_Rarely,626,Research & Development,1,2,Life Sciences,1,64,1,Male,98,2,3,Laboratory Technician,3,Single,5381,Medium,19294,9,Y,Yes,13,3,4,80,0,23,2,3,1,<2,0,0,0
EMP0052,28,Under 30,Yes,Travel_Rarely,1434,Research & Development,5,4,Technical Degree,1,65,3,Male,50,3,1,Laboratory Technician,3,Single,3441,Medium,11179,1,Y,Yes,13,3,3,80,0,2,3,2,2,2-5,2,2,2
EMP0053,44,40+,No,Travel_Rarely,1488,Sales,1,5,Marketing,1,68,2,Female,75,3,2,Sales Executive,1,Divorced,5454,Medium,4009,5,Y,Yes,21,4,3,80,1,9,2,2,4,2-5,3,1,3
EMP0054,35,30-40,No,Non-Travel,1097,Research & Development,11,2,Medical,1,70,3,Male,79,2,3,Healthcare Representative,1,Married,9884,High,8302,2,Y,Yes,13,3,3,80,1,10,3,3,4,2-5,0,2,3
EMP0055,26,Under 30,No,Travel_Rarely,1443,Sales,23,3,Marketing,1,72,3,Female,47,2,2,Sales Executive,4,Married,4157,Medium,21436,7,Y,Yes,19,3,3,80,1,5,2,2,2,2-5,2,0,0
EMP0056,33,30-40,No,Travel_Frequently,515,Research & Development,1,2,Life Sciences,1,73,1,Female,98,3,3,Research Director,4,Single,13458,High,15146,1,Y,Yes,12,3,3,80,0,15,1,3,15,10+,14,8,12
EMP0057,35,30-40,No,Travel_Frequently,853,Sales,18,5,Life Sciences,1,74,2,Male,71,3,3,Sales Executive,1,Married,9069,High,11031,1,Y,No,22,4,4,80,1,9,3,2,9,5-10,8,1,8
EMP0058,35,30-40,No,Travel_Rarely,1142,Research & Development,23,4,Medical,1,75,3,Female,30,3,1,Laboratory Technician,1,Married,4014,Medium,16002,3,Y,Yes,15,3,3,80,1,4,3,3,2,2-5,2,2,2
EMP0059,31,30-40,No,Travel_Rarely,655,Research & Development,7,4,Life Sciences,1,76,4,Male,48,3,2,Laboratory Technician,4,Divorced,5915,Medium,9528,3,Y,No,22,4,4,80,1,10,3,2,7,5-10,7,1,7
EMP0060,37,30-40,No,Travel_Rarely,1115,Research & Development,1,4,Life Sciences,1,77,1,Male,51,2,2,Manufacturing Director,3,Divorced,5993,Medium,2689,1,Y,No,18,3,3,80,1,7,2,4,7,5-10,5,0,7
EMP0061,32,30-40,No,Travel_Rarely,427,Research & Development,1,3,Medical,1,78,1,Male,33,3,2,Manufacturing Director,4,Married,6162,Medium,10877,1,Y,Yes,22,4,2,80,1,9,3,3,9,5-10,8,7,8
EMP0062,38,30-40,No,Travel_Frequently,653,Research & Development,29,5,Life Sciences,1,79,4,Female,50,3,2,Laboratory Technician,4,Single,2406,Low,5456,1,Y,No,11,3,4,80,0,10,2,3,10,5-10,3,9,9
EMP0063,50,40+,No,Travel_Rarely,989,Research & Development,7,2,Medical,1,80,2,Female,43,2,5,Research Director,3,Divorced,18740,High,16701,5,Y,Yes,12,3,4,80,1,29,2,2,27,10+,3,13,8
EMP0064,59,40+,No,Travel_Rarely,1435,Sales,25,3,Life Sciences,1,81,1,Female,99,3,3,Sales Executive,1,Single,7637,High,2354,7,Y,No,11,3,4,80,0,28,3,2,21,10+,16,7,9
EMP0065,36,30-40,No,Travel_Rarely,1223,Research & Development,8,3,Technical Degree,1,83,3,Female,59,3,3,Healthcare Representative,3,Divorced,10096,High,8202,1,Y,No,13,3,2,80,3,17,2,3,17,10+,14,12,8
EMP0066,55,40+,No,Travel_Rarely,836,Research & Development,8,3,Medical,1,84,4,Female,33,3,4,Manager,3,Divorced,14756,High,19730,2,Y,Yes,14,3,3,80,3,21,2,3,5,2-5,0,0,2
EMP0067,36,30-40,No,Travel_Frequently,1195,Research & Development,11,3,Life Sciences,1,85,2,Male,95,2,2,Manufacturing Director,2,Single,6499,Medium,22656,1,Y,No,13,3,3,80,0,6,3,3,6,5-10,5,0,3
EMP0068,45,40+,No,Travel_Rarely,1339,Research & Development,7,3,Life Sciences,1,86,2,Male,59,3,3,Research Scientist,1,Divorced,9724,High,18787,2,Y,No,17,3,3,80,1,25,2,3,1,<2,0,0,0
EMP0069,35,30-40,No,Travel_Frequently,664,Research & Development,1,3,Medical,1,88,2,Male,79,3,1,Research Scientist,1,Married,2194,Low,5868,4,Y,No,13,3,4,80,1,5,2,2,3,2-5,2,1,2
EMP0070,36,30-40,Yes,Travel_Rarely,318,Research & Development,9,3,Medical,1,90,4,Male,79,2,1,Research Scientist,3,Married,3388,Medium,21777,0,Y,Yes,17,3,1,80,1,2,0,2,1,<2,0,0,0
EMP0071,59,40+,No,Travel_Frequently,1225,Sales,1,1,Life Sciences,1,91,1,Female,57,2,2,Sales Executive,3,Single,5473,Medium,24668,7,Y,No,11,3,4,80,0,20,2,2,4,2-5,3,1,3
EMP0072,29,Under 30,No,Travel_Rarely,1328,Research & Development,2,3,Life Sciences,1,94,3,Male,76,3,1,Research Scientist,2,Married,2703,Low,4956,0,Y,No,23,4,4,80,1,6,3,3,5,2-5,4,0,4
EMP0073,31,30-40,No,Travel_Rarely,1082,Research & Development,1,4,Medical,1,95,3,Male,87,3,1,Research Scientist,2,Single,2501,Low,18775,1,Y,No,17,3,2,80,0,1,4,3,1,<2,1,1,0
EMP0074,32,30-40,No,Travel_Rarely,548,Research & Development,1,3,Life Sciences,1,96,2,Male,66,3,2,Research Scientist,2,Married,6220,Medium,7346,1,Y,No,17,3,2,80,2,10,3,3,10,5-10,4,0,9
EMP0075,36,30-40,No,Travel_Rarely,132,Research & Development,6,3,Life Sciences,1,97,2,Female,55,4,1,Laboratory Technician,4,Married,3038,Medium,22002,3,Y,No,12,3,2,80,0,5,3,3,1,<2,0,0,0
EMP0076,31,30-40,No,Travel_Rarely,746,Research & Development,8,4,Life Sciences,1,98,3,Female,61,3,2,Manufacturing Director,4,Single,4424,Medium,20682,1,Y,No,23,4,4,80,0,11,2,3,11,10+,7,1,8
EMP0077,35,30-40,No,Travel_Rarely,776,Sales,1,4,Marketing,1,100,3,Male,32,2,2,Sales Executive,1,Single,4312,Medium,23016,0,Y,No,14,3,2,80,0,16,2,3,15,10+,13,2,8
EMP0078,45,40+,No,Travel_Rarely,193,Research & Development,6,4,Other,1,101,4,Male,52,3,3,Research Director,1,Married,13245,High,15067,4,Y,Yes,14,3,2,80,0,17,3,4,0,<2,0,0,0
EMP0079,37,30-40,No,Travel_Rarely,397,Research & Development,7,4,Medical,1,102,1,Male,30,3,3,Research Director,3,Single,13664,High,25258,4,Y,No,13,3,1,80,0,16,3,4,5,2-5,2,0,2
EMP0080,46,40+,No,Travel_Rarely,945,Human Resources,5,2,Medical,1,103,2,Male,80,3,2,Human Resources,2,Divorced,5021,Medium,10425,8,Y,Yes,22,4,4,80,1,16,2,3,4,2-5,2,0,2
EMP0081,30,30-40,No,Travel_Rarely,852,Research & Development,1,1,Life Sciences,1,104,4,Male,55,2,2,Laboratory Technician,4,Married,5126,Medium,15998,1,Y,Yes,12,3,3,80,2,10,1,2,10,5-10,8,3,0
EMP0082,35,30-40,No,Travel_Rarely,1214,Research & Development,1,3,Medical,1,105,2,Male,30,2,1,Research Scientist,3,Single,2859,Low,26278,1,Y,No,18,3,1,80,0,6,3,3,6,5-10,4,0,4
EMP0083,55,40+,No,Travel_Rarely,111,Sales,1,2,Life Sciences,1,106,1,Male,70,3,3,Sales Executive,4,Married,10239,High,18092,3,Y,No,14,3,4,80,1,24,4,3,1,<2,0,1,0
EMP0084,38,30-40,No,Non-Travel,573,Research & Development,6,3,Medical,1,107,2,Female,79,1,2,Research Scientist,4,Divorced,5329,Medium,15717,7,Y,Yes,12,3,4,80,3,17,3,3,13,10+,11,1,9
EMP0085,34,30-40,No,Travel_Rarely,1153,Research & Development,1,2,Medical,1,110,1,Male,94,3,2,Manufacturing Director,2,Married,4325,Medium,17736,1,Y,No,15,3,3,80,0,5,2,3,5,2-5,2,1,3
EMP0086,56,40+,No,Travel_Rarely,1400,Research & Development,7,3,Life Sciences,1,112,4,Male,49,1,3,Manufacturing Director,4,Single,7260,High,21698,4,Y,No,11,3,1,80,0,37,3,2,6,5-10,4,0,2
EMP0087,23,Under 30,No,Travel_Rarely,541,Sales,2,1,Technical Degree,1,113,3,Male,62,3,1,Sales Representative,1,Divorced,2322,Low,9518,3,Y,No,13,3,3,80,1,3,3,3,0,<2,0,0,0
EMP0088,51,40+,No,Travel_Rarely,432,Research & Development,9,4,Life Sciences,1,116,4,Male,96,3,1,Laboratory Technician,4,Married,2075,Low,18725,3,Y,No,23,4,2,80,2,10,4,3,4,2-5,2,0,3
EMP0089,30,30-40,No,Travel_Rarely,288,Research & Development,2,3,Life Sciences,1,117,3,Male,99,2,2,Healthcare Representative,4,Married,4152,Medium,15830,1,Y,No,19,3,1,80,3,11,3,3,11,10+,10,10,8
EMP0090,46,40+,Yes,Travel_Rarely,669,Sales,9,2,Medical,1,118,3,Male,64,2,3,Sales Executive,4,Single,9619,High,13596,1,Y,No,16,3,4,80,0,9,3,3,9,5-10,8,4,7
EMP0091,40,30-40,No,Travel_Frequently,530,Research & Development,1,4,Life Sciences,1,119,3,Male,78,2,4,Healthcare Representative,2,Married,13503,High,14115,1,Y,No,22,4,4,80,1,22,3,2,22,10+,3,11,11
EMP0092,51,40+,No,Travel_Rarely,632,Sales,21,4,Marketing,1,120,3,Male,71,3,2,Sales Executive,4,Single,5441,Medium,8423,0,Y,Yes,22,4,4,80,0,11,2,1,10,5-10,7,1,0
EMP0093,30,30-40,No,Travel_Rarely,1334,Sales,4,2,Medical,1,121,3,Female,63,2,2,Sales Executive,2,Divorced,5209,Medium,19760,1,Y,Yes,12,3,2,80,3,11,4,2,11,10+,8,2,7
EMP0094,46,40+,No,Travel_Frequently,638,Research & Development,1,3,Medical,1,124,3,Male,40,2,3,Healthcare Representative,1,Married,10673,High,3142,2,Y,Yes,13,3,3,80,1,21,5,2,10,5-10,9,9,5
EMP0095,32,30-40,No,Travel_Rarely,1093,Sales,6,4,Medical,1,125,2,Male,87,3,2,Sales Executive,3,Single,5010,Medium,24301,1,Y,No,16,3,1,80,0,12,0,3,11,10+,8,5,7
EMP0096,54,40+,No,Travel_Rarely,1217,Research & Development,2,4,Technical Degree,1,126,1,Female,60,3,3,Research Director,3,Married,13549,High,24001,9,Y,No,12,3,1,80,1,16,5,1,4,2-5,3,0,3
EMP0097,24,Under 30,No,Travel_Rarely,1353,Sales,3,2,Other,1,128,1,Female,33,3,2,Sales Executive,3,Married,4999,Medium,17519,0,Y,No,21,4,1,80,1,4,2,2,3,2-5,2,0,2
EMP0098,28,Under 30,No,Non-Travel,120,Sales,4,3,Medical,1,129,2,Male,43,3,2,Sales Executive,3,Married,4221,Medium,8863,1,Y,No,15,3,2,80,0,5,3,4,5,2-5,4,0,4
EMP0099,58,40+,No,Travel_Rarely,682,Sales,10,4,Medical,1,131,4,Male,37,3,4,Sales Executive,3,Single,13872,High,24409,0,Y,No,13,3,3,80,0,38,1,2,37,10+,10,1,8
EMP0100,44,40+,No,Non-Travel,489,Research & Development,23,3,Medical,1,132,2,Male,67,3,2,Laboratory Technician,2,Married,2042,Low,25043,4,Y,No,12,3,3,80,1,17,3,4,3,2-5,2,1,2
EMP0101,37,30-40,Yes,Travel_Rarely,807,Human Resources,6,4,Human Resources,1,133,3,Male,63,3,1,Human Resources,1,Divorced,2073,Low,23648,4,Y,Yes,22,4,4,80,0,7,3,3,3,2-5,2,0,2
EMP0102,32,30-40,No,Travel_Rarely,827,Research & Development,1,1,Life Sciences,1,134,4,Male,71,3,1,Research Scientist,1,Single,2956,Low,15178,1,Y,No,13,3,4,80,0,1,2,3,1,<2,0,0,0
EMP0103,20,Under 30,Yes,Travel_Frequently,871,Research & Development,6,3,Life Sciences,1,137,4,Female,66,2,1,Laboratory Technician,4,Single,2926,Low,19783,1,Y,Yes,18,3,2,80,0,1,5,3,1,<2,0,1,0
EMP0104,34,30-40,No,Travel_Rarely,665,Research & Development,6,4,Other,1,138,1,Female,41,3,2,Research Scientist,3,Single,4809,Medium,12482,1,Y,No,14,3,3,80,0,16,3,3,16,10+,13,2,10
EMP0105,37,30-40,No,Non-Travel,1040,Research & Development,2,2,Life Sciences,1,139,3,Male,100,2,2,Healthcare Representative,4,Divorced,5163,Medium,15850,5,Y,No,14,3,4,80,1,17,2,4,1,<2,0,0,0
EMP0106,59,40+,No,Non-Travel,1420,Human Resources,2,4,Human Resources,1,140,3,Female,32,2,5,Manager,4,Married,18844,High,21922,9,Y,No,21,4,4,80,1,30,3,3,3,2-5,2,2,2
EMP0107,50,40+,No,Travel_Frequently,1115,Research & Development,1,3,Life Sciences,1,141,1,Female,73,3,5,Research Director,2,Married,18172,High,9755,3,Y,Yes,19,3,1,80,0,28,1,2,8,5-10,3,0,7
EMP0108,25,Under 30,Yes,Travel_Rarely,240,Sales,5,3,Marketing,1,142,3,Male,46,2,2,Sales Executive,3,Single,5744,Medium,26959,1,Y,Yes,11,3,4,80,0,6,1,3,6,5-10,4,0,3
EMP0109,25,Under 30,No,Travel_Rarely,1280,Research & Development,7,1,Medical,1,143,4,Male,64,2,1,Research Scientist,4,Married,2889,Low,26897,1,Y,No,11,3,3,80,2,2,2,3,2,2-5,2,2,1
EMP0110,22,Under 30,No,Travel_Rarely,534,Research & Development,15,3,Medical,1,144,2,Female,59,3,1,Laboratory Technician,4,Single,2871,Low,23785,1,Y,No,15,3,3,80,0,1,5,3,0,<2,0,0,0
EMP0111,51,40+,No,Travel_Frequently,1456,Research & Development,1,4,Medical,1,145,1,Female,30,2,3,Healthcare Representative,1,Single,7484,High,25796,3,Y,No,20,4,3,80,0,23,1,2,13,10+,12,12,8
EMP0112,34,30-40,Yes,Travel_Frequently,658,Research & Development,7,3,Life Sciences,1,147,1,Male,66,1,2,Laboratory Technician,3,Single,6074,Medium,22887,1,Y,Yes,24,4,4,80,0,9,3,3,9,5-10,7,0,6
EMP0113,54,40+,No,Non-Travel,142,Human Resources,26,3,Human Resources,1,148,4,Female,30,4,4,Manager,4,Single,17328,High,13871,2,Y,Yes,12,3,3,80,0,23,3,3,5,2-5,3,4,4
EMP0114,24,Under 30,No,Travel_Rarely,1127,Research & Development,18,1,Life Sciences,1,150,2,Male,52,3,1,Laboratory Technician,3,Married,2774,Low,13257,0,Y,No,12,3,3,80,1,6,2,3,5,2-5,3,1,2
EMP0115,34,30-40,No,Travel_Rarely,1031,Research & Development,6,4,Life Sciences,1,151,3,Female,45,2,2,Research Scientist,2,Divorced,4505,Medium,15000,6,Y,No,15,3,3,80,1,12,3,3,1,<2,0,0,0
EMP0116,37,30-40,No,Travel_Rarely,1189,Sales,3,3,Life Sciences,1,152,3,Male,87,3,3,Sales Executive,4,Single,7428,High,14506,2,Y,No,12,3,1,80,0,12,3,3,5,2-5,3,1,3
EMP0117,34,30-40,No,Travel_Rarely,1354,Research & Development,5,3,Medical,1,153,3,Female,45,2,3,Manager,1,Single,11631,High,5615,2,Y,No,12,3,4,80,0,14,6,3,11,10+,10,5,8
EMP0118,36,30-40,No,Travel_Frequently,1467,Sales,11,2,Technical Degree,1,154,2,Female,92,3,3,Sales Executive,4,Married,9738,High,22952,0,Y,No,14,3,3,80,1,10,6,3,9,5-10,7,2,8
